,,,,,,,,,,,,,,,,
,26.02.25(수),,260,주초,주말,TIGER 미국나스닥100 주종가,지수 추세,시장 평가,,Date,TIGER 미국나스닥100 ,Date,KODEX 미국나스닥100레버리지(합성 H),TIGER 미국나스닥100레버리지(합성),ACE 미국빅테크TOP7 Plus레버리지(합성),TIMEFOLIO 미국나스닥100액티브
,16.05.05(목),,,12.03.19(월),12.03.23(금),"₩13,600","₩12,082",-11.16%,,11.02.01(화),"₩11,120",22.04.25(월),"₩6,330","₩9,725",,
,16.05.06(금),,,12.03.26(월),12.03.30(금),"₩13,785","₩12,184",-11.61%,,11.02.07(월),"₩11,310",22.04.26(화),"₩6,580","₩10,140",,
,16.06.06(월),,,12.04.02(월),12.04.06(금),"₩13,705","₩12,280",-10.40%,,11.02.08(화),"₩11,315",22.04.27(수),"₩6,175","₩9,735",,
,16.08.15(월),,,12.04.09(월),12.04.13(금),"₩13,655","₩12,369",-9.42%,,11.02.09(수),"₩11,390",22.04.28(목),"₩6,280","₩10,020",,
,16.09.14(수),,,12.04.16(월),12.04.20(금),"₩13,470","₩12,447",-7.60%,,11.02.10(목),"₩11,485",22.04.29(금),"₩6,435","₩9,995",,
,16.09.15(목),,,12.04.23(월),12.04.27(금),"₩13,550","₩12,525",-7.56%,,11.02.11(금),"₩11,610",22.05.02(월),"₩6,005","₩9,495",,
,16.09.16(금),,,12.04.30(월),12.05.04(금),"₩13,475","₩12,597",-6.52%,,11.02.14(월),"₩11,660",22.05.03(화),"₩6,145","₩9,730",,
,16.10.03(월),,,12.05.07(월),12.05.11(금),"₩13,165","₩12,652",-3.90%,,11.02.15(화),"₩11,640",22.05.04(수),"₩6,165","₩9,735",,
,16.12.30(금),,,12.05.14(월),12.05.18(금),"₩12,935","₩12,695",-1.86%,,11.02.16(수),"₩11,635",22.05.06(금),"₩5,915","₩9,435",,
,17.01.27(금),,,12.05.21(월),12.05.25(금),"₩13,165","₩12,746",-3.18%,,11.02.17(목),"₩11,665",22.05.09(월),"₩5,650","₩9,055",,
,17.01.30(월),,,12.05.29(화),12.06.01(금),"₩13,130","₩12,793",-2.56%,,11.02.18(금),"₩11,615",22.05.10(화),"₩5,480","₩8,780",,
,17.03.01(수),,,12.06.04(월),12.06.08(금),"₩13,130","₩12,839",-2.22%,,11.02.21(월),"₩11,655",22.05.11(수),"₩5,530","₩8,860",,"₩10,200"
,17.05.01(월),,,12.06.11(월),12.06.15(금),"₩13,115","₩12,882",-1.78%,,11.02.22(화),"₩11,610",22.05.12(목),"₩5,080","₩8,330",,"₩9,875"
,17.05.03(수),,,12.06.18(월),12.06.22(금),"₩13,120","₩12,924",-1.50%,,11.02.23(수),"₩11,355",22.05.13(금),"₩5,215","₩8,480",,"₩9,950"
,17.05.05(금),,,12.06.25(월),12.06.29(금),"₩13,055","₩12,961",-0.72%,,11.02.24(목),"₩11,335",22.05.16(월),"₩5,340","₩8,700",,"₩10,135"
,17.05.09(화),,,12.07.02(월),12.07.06(금),"₩13,305","₩13,007",-2.24%,,11.02.25(금),"₩11,375",22.05.17(화),"₩5,415","₩8,690",,"₩10,090"
,17.06.06(화),,,12.07.09(월),12.07.13(금),"₩13,005","₩13,039",0.26%,,11.02.28(월),"₩11,535",22.05.18(수),"₩5,545","₩8,815",,"₩10,160"
,17.08.15(화),,,12.07.16(월),12.07.20(금),"₩13,425","₩13,087",-2.52%,,11.03.02(수),"₩11,380",22.05.19(목),"₩5,025","₩8,090",,"₩9,735"
,17.10.03(화),,,12.07.23(월),12.07.27(금),"₩13,110","₩13,121",0.08%,,11.03.03(목),"₩11,375",22.05.20(금),"₩5,095","₩8,080",,"₩9,775"
,17.10.04(수),,,12.07.30(월),12.08.03(금),"₩13,205","₩13,157",-0.37%,,11.03.04(금),"₩11,620",22.05.23(월),"₩5,125","₩8,080",,"₩9,760"
,17.10.05(목),,,12.08.06(월),12.08.10(금),"₩13,550","₩13,205",-2.54%,,11.03.07(월),"₩11,610",22.05.24(화),"₩4,915","₩7,805",,"₩9,570"
,17.10.06(금),,,12.08.13(월),12.08.17(금),"₩13,880","₩13,265",-4.43%,,11.03.08(화),"₩11,365",22.05.25(수),"₩4,965","₩7,820",,"₩9,630"
,17.10.09(월),,,12.08.20(월),12.08.24(금),"₩13,890","₩13,323",-4.08%,,11.03.09(수),"₩11,410",22.05.26(목),"₩4,990","₩7,885",,"₩9,665"
,17.12.25(월),,,12.08.27(월),12.08.31(금),"₩13,840","₩13,378",-3.34%,,11.03.10(목),"₩11,385",22.05.27(금),"₩5,295","₩8,245",,"₩9,885"
,17.12.29(금),,,12.09.03(월),12.09.07(금),"₩14,175","₩13,443",-5.17%,,11.03.11(금),"₩11,200",22.05.30(월),"₩5,830","₩8,835",,"₩10,255"
,18.01.01(월),,,12.09.10(월),12.09.14(금),"₩14,050","₩13,501",-3.91%,,11.03.14(월),"₩11,350",22.05.31(화),"₩5,720","₩8,635",,"₩10,140"
,18.02.15(목),,,12.09.17(월),12.09.21(금),"₩14,215","₩13,564",-4.58%,,11.03.15(화),"₩11,345",22.06.02(목),"₩5,560","₩8,610",,"₩10,135"
,18.02.16(금),,,12.09.24(월),12.09.28(금),"₩13,905","₩13,613",-2.10%,,11.03.16(수),"₩11,160",22.06.03(금),"₩5,850","₩8,935",,"₩10,245"
,18.03.01(목),,,12.10.04(목),12.10.05(금),"₩13,940","₩13,661",-2.00%,,11.03.17(목),"₩10,920",22.06.07(화),"₩5,520","₩8,630",,"₩10,110"
,18.05.01(화),,,12.10.08(월),12.10.12(금),"₩13,430","₩13,689",1.93%,,11.03.18(금),"₩10,940",22.06.08(수),"₩5,645","₩8,790",,"₩10,220"
,18.05.07(월),,,12.10.15(월),12.10.19(금),"₩13,470","₩13,718",1.84%,,11.03.21(월),"₩10,945",22.06.09(목),"₩5,570","₩8,710",,"₩10,140"
,18.05.22(화),,,12.10.22(월),12.10.26(금),"₩12,925","₩13,724",6.18%,,11.03.22(화),"₩11,105",22.06.10(금),"₩5,365","₩8,525",,"₩10,020"
,18.06.06(수),,,12.10.29(월),12.11.02(금),"₩13,020","₩13,734",5.48%,,11.03.23(수),"₩11,100",22.06.13(월),"₩4,715","₩7,660",,"₩9,510"
,18.06.13(수),,,12.11.05(월),12.11.09(금),"₩12,480","₩13,722",9.95%,,11.03.24(목),"₩11,150",22.06.14(화),"₩4,640","₩7,570",,"₩9,435"
,18.08.15(수),,,12.11.12(월),12.11.16(금),"₩12,200","₩13,699",12.29%,,11.03.25(금),"₩11,270",22.06.15(수),"₩4,555","₩7,490",,"₩9,385"
,18.09.24(월),,,12.11.19(월),12.11.23(금),"₩12,570","₩13,692",8.92%,,11.03.28(월),"₩11,285",22.06.17(금),"₩4,400","₩7,200",,"₩9,190"
,18.09.25(화),,,12.11.26(월),12.11.30(금),"₩12,860","₩13,695",6.50%,,11.03.29(화),"₩11,180",22.06.20(월),"₩4,475","₩7,410",,"₩9,260"
,18.09.26(수),,,12.12.03(월),12.12.07(금),"₩12,785","₩13,696",7.12%,,11.03.30(수),"₩11,215",22.06.21(화),"₩4,565","₩7,550",,"₩9,335"
,18.10.03(수),,,12.12.10(월),12.12.14(금),"₩12,625","₩13,690",8.44%,,11.03.31(목),"₩11,165",22.06.22(수),"₩4,520","₩7,550",,"₩9,380"
,18.10.09(화),,,12.12.17(월),12.12.21(금),"₩12,660","₩13,686",8.10%,,11.04.01(금),"₩11,140",22.06.23(목),"₩4,620","₩7,755",,"₩9,490"
,18.12.25(화),,,12.12.24(월),12.12.28(금),"₩12,545","₩13,677",9.02%,,11.04.04(월),"₩11,110",22.06.24(금),"₩4,860","₩8,120",,"₩9,625"
,18.12.31(월),,,12.12.31(월),13.01.04(금),"₩12,885","₩13,681",6.18%,,11.04.05(화),"₩11,050",22.06.27(월),"₩5,100","₩8,365",,"₩9,780"
,19.01.01(화),,,13.01.07(월),13.01.11(금),"₩12,810","₩13,682",6.81%,,11.04.06(수),"₩11,020",22.06.28(화),"₩5,090","₩8,305",,"₩9,780"
,19.02.04(월),,,13.01.14(월),13.01.18(금),"₩12,775","₩13,682",7.10%,,11.04.07(목),"₩11,070",22.06.29(수),"₩4,735","₩7,910",,"₩9,590"
,19.02.05(화),,,13.01.21(월),13.01.25(금),"₩12,880","₩13,685",6.25%,,11.04.08(금),"₩11,010",22.06.30(목),"₩4,610","₩7,725",,"₩9,425"
,19.02.06(수),,,13.01.28(월),13.02.01(금),"₩13,270","₩13,701",3.25%,,11.04.11(월),"₩10,980",22.07.01(금),"₩4,525","₩7,570",,"₩9,300"
,19.03.01(금),,,13.02.04(월),13.02.08(금),"₩13,275","₩13,717",3.33%,,11.04.12(화),"₩11,020",22.07.04(월),"₩4,630","₩7,735",,"₩9,390"
,19.05.01(수),,,13.02.12(화),13.02.15(금),"₩13,300","₩13,733",3.25%,,11.04.13(수),"₩10,920",22.07.05(화),"₩4,730","₩7,925",,"₩9,535"
,19.05.06(월),,,13.02.18(월),13.02.22(금),"₩13,090","₩13,741",4.98%,,11.04.14(목),"₩10,985",22.07.06(수),"₩4,770","₩8,085",,"₩9,635"
,19.06.06(목),,,13.02.25(월),13.02.28(목),"₩13,165","₩13,748",4.43%,,11.04.15(금),"₩10,985",22.07.07(목),"₩4,915","₩8,235",,"₩9,655"
,19.08.15(목),,,13.03.04(월),13.03.08(금),"₩13,445","₩13,772",2.43%,,11.04.18(월),"₩10,985",22.07.08(금),"₩5,030","₩8,465",,"₩9,830"
,19.09.12(목),,,13.03.11(월),13.03.15(금),"₩13,780","₩13,801",0.15%,,11.04.19(화),"₩10,925",22.07.11(월),"₩4,985","₩8,415",,"₩9,835"
