,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Date,KODEX나스닥레버리지,주가변동%,TIGER미국나스닥100시장평가,실매매주가,목표 매매금,목표 매매 수량,실 매매 수량,목표 실 매매금,현 보유 주식수,현 평가금,New 평가금,예수금,총자산,현금비중,DD
,,,,,,,,,,23.08.25(금),"₩ 6,730",1.0%,7.01%,,"-₩ 97,110",-14,-14,"-₩ 94,220",1480,"₩ 10,054,620","₩ 9,960,400","₩ 10,854,565","₩ 20,814,965",52.15%,14.29%
,,,,,,,,,,23.09.01(금),"₩ 7,350",9.2%,2.93%,,"-₩ 612,039",-83,-83,"-₩ 610,050",1397,"₩ 10,878,000","₩ 10,267,950","₩ 11,464,615","₩ 21,732,565",52.75%,10.51%
,,,,,,,,,,23.09.08(금),"₩ 7,180",-2.3%,3.37%,,"₩ 158,406",22,22,"₩ 157,960",1419,"₩ 10,030,460","₩ 10,188,420","₩ 11,306,655","₩ 21,495,075",52.60%,11.49%
,,,,,,,,,,23.09.15(금),"₩ 7,360",2.5%,2.91%,,"-₩ 170,365",-23,-23,"-₩ 169,280",1396,"₩ 10,443,840","₩ 10,274,560","₩ 11,475,935","₩ 21,750,495",52.76%,10.44%
,,,,,,,,,,23.09.22(금),"₩ 6,640",-9.8%,7.28%,,"₩ 670,415",100,100,"₩ 664,000",1496,"₩ 9,269,440","₩ 9,933,440","₩ 10,811,935","₩ 20,745,375",52.12%,14.58%
,,,,,,,,,,23.09.27(수),"₩ 6,510",-2.0%,7.88%,,"₩ 129,718",19,19,"₩ 123,690",1515,"₩ 9,738,960","₩ 9,862,650","₩ 10,688,245","₩ 20,550,895",52.01%,15.38%
,,,,,,,,,,23.10.06(금),"₩ 6,585",1.2%,7.33%,,"-₩ 113,625",-17,-17,"-₩ 111,945",1498,"₩ 9,976,275","₩ 9,864,330","₩ 10,800,190","₩ 20,664,520",52.26%,14.91%
,,,,,,,,,,23.10.13(금),"₩ 6,995",6.2%,4.41%,,"-₩ 409,658",-58,-58,"-₩ 405,710",1440,"₩ 10,478,510","₩ 10,072,800","₩ 11,205,900","₩ 21,278,700",52.66%,12.38%
,,,,,,,,,,23.10.20(금),"₩ 6,550",-6.4%,7.71%,,"₩ 427,414",65,65,"₩ 425,750",1505,"₩ 9,432,000","₩ 9,857,750","₩ 10,780,150","₩ 20,637,900",52.23%,15.02%
,,,,,,,,,,23.10.27(금),"₩ 6,125",-6.5%,11.24%,,"₩ 426,630",69,69,"₩ 422,625",1574,"₩ 9,218,125","₩ 9,640,750","₩ 10,357,525","₩ 19,998,275",51.79%,17.65%
