,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Date,TIGER나스닥레버리지,주가변동%,TIGER미국나스닥100시장평가,실매매주가,목표 매매금,목표 매매 수량,실 매매 수량,목표 실 매매금,현 보유 주식수,현 평가금,New 평가금,예수금,총자산,현금비중,DD
,,,,,,,,,,23.09.27(수),"₩ 11,830",0.0%,7.88%,,"₩ 3,132",0,0,₩ 0,939,"₩ 11,108,370","₩ 11,108,370","₩ 11,956,385","₩ 23,064,755",51.84%,3.88%
,,,,,,,,,,23.10.06(금),"₩ 12,195",3.1%,7.33%,,"-₩ 342,735",-28,-28,"-₩ 341,460",911,"₩ 11,451,105","₩ 11,109,645","₩ 12,297,845","₩ 23,407,490",52.54%,2.45%
,,,,,,,,,,23.10.13(금),"₩ 12,720",4.3%,4.41%,,"-₩ 319,009",-25,-25,"-₩ 318,000",886,"₩ 11,587,920","₩ 11,269,920","₩ 12,615,845","₩ 23,885,765",52.82%,0.46%
,,,,,,,,,,23.10.20(금),"₩ 12,005",-5.6%,7.71%,,"₩ 422,538",35,35,"₩ 420,175",921,"₩ 10,636,430","₩ 11,056,605","₩ 12,195,670","₩ 23,252,275",52.45%,3.10%
,,,,,,,,,,23.10.27(금),"₩ 11,275",-6.1%,11.24%,,"₩ 448,444",39,39,"₩ 439,725",960,"₩ 10,384,275","₩ 10,824,000","₩ 11,755,945","₩ 22,579,945",52.06%,5.90%
,,,,,,,,,,23.11.03(금),"₩ 11,690",3.7%,9.39%,,"-₩ 398,400",-34,-34,"-₩ 397,460",926,"₩ 11,222,400","₩ 10,824,940","₩ 12,153,405","₩ 22,978,345",52.89%,4.24%
,,,,,,,,,,23.11.10(금),"₩ 11,990",2.6%,7.86%,,"-₩ 277,800",-23,-23,"-₩ 275,770",903,"₩ 11,102,740","₩ 10,826,970","₩ 12,429,175","₩ 23,256,145",53.44%,3.08%
,,,,,,,,,,23.11.17(금),"₩ 12,585",5.0%,5.19%,,"-₩ 537,285",-42,-42,"-₩ 528,570",861,"₩ 11,364,255","₩ 10,835,685","₩ 12,957,745","₩ 23,793,430",54.46%,0.85%
,,,,,,,,,,23.11.24(금),"₩ 13,070",3.9%,3.49%,,"-₩ 278,529",-21,-21,"-₩ 274,470",840,"₩ 11,253,270","₩ 10,978,800","₩ 13,232,215","₩ 24,211,015",54.65%,0.00%
,,,,,,,,,,23.12.01(금),"₩ 12,875",-1.5%,4.21%,,"₩ 109,255",8,8,"₩ 103,000",848,"₩ 10,815,000","₩ 10,918,000","₩ 13,129,215","₩ 24,047,215",54.60%,0.68%
,,,,,,,,,,23.12.08(금),"₩ 13,065",1.5%,3.79%,,"-₩ 107,467",-8,-8,"-₩ 104,520",840,"₩ 11,079,120","₩ 10,974,600","₩ 13,233,735","₩ 24,208,335",54.67%,0.01%
,,,,,,,,,,23.12.15(금),"₩ 13,705",4.9%,1.31%,,"-₩ 358,579",-26,-26,"-₩ 356,330",814,"₩ 11,512,200","₩ 11,155,870","₩ 13,590,065","₩ 24,745,935",54.92%,0.00%
,,,,,,,,,,23.12.22(금),"₩ 14,065",2.6%,0.10%,,"-₩ 195,458",-13,-13,"-₩ 182,845",801,"₩ 11,448,910","₩ 11,266,065","₩ 13,772,910","₩ 25,038,975",55.01%,0.00%
,,,,,,,,,,23.12.28(목),"₩ 14,170",0.7%,-0.24%,,"-₩ 56,098",-3,-3,"-₩ 42,510",798,"₩ 11,350,170","₩ 11,307,660","₩ 13,815,420","₩ 25,123,080",54.99%,0.00%
,,,,,,,,,,24.01.05(금),"₩ 13,600",-4.0%,2.06%,,"₩ 303,392",22,22,"₩ 299,200",820,"₩ 10,852,800","₩ 11,152,000","₩ 13,516,220","₩ 24,668,220",54.79%,1.81%
,,,,,,,,,,24.01.12(금),"₩ 14,490",6.5%,-0.87%,,"-₩ 486,777",-33,-33,"-₩ 478,170",787,"₩ 11,881,800","₩ 11,403,630","₩ 13,994,390","₩ 25,398,020",55.10%,0.00%
,,,,,,,,,,24.01.19(금),"₩ 15,460",6.7%,-3.73%,,"-₩ 509,181",-32,-32,"-₩ 494,720",755,"₩ 12,167,020","₩ 11,672,300","₩ 14,489,110","₩ 26,161,410",55.38%,0.00%
