Date,Close,Open,High,Low,Volume
2023-01-27,76600.01,76600.01,76600.01,76600.01,0
2023-01-30,75938.86,75938.86,75938.86,75938.86,0
2023-01-31,75760.4,75760.4,75760.4,75760.4,0
2023-02-01,76308.84,76308.84,76308.84,76308.84,0
2023-02-02,76628.18,76628.18,76628.18,76628.18,0
2023-02-03,74974.13,74974.13,74974.13,74974.13,0
2023-02-06,75716.0,75716.0,75716.0,75716.0,0
2023-02-07,75755.33,75755.33,75755.33,75755.33,0
2023-02-08,75978.5,75978.5,75978.5,75978.5,0
2023-02-09,76230.0,76230.0,76230.0,76230.0,0
2023-02-10,76047.58,76047.58,76047.58,76047.58,0
2023-02-13,76570.53,76570.53,76570.53,76570.53,0
2023-02-14,75752.12,75752.12,75752.12,75752.12,0
2023-02-15,75743.16,75743.16,75743.16,75743.16,0
2023-02-16,75945.05,75945.05,75945.05,75945.05,0
2023-02-17,76443.88,76443.88,76443.88,76443.88,0
2023-02-20,76934.35,76934.35,76934.35,76934.35,0
2023-02-21,76742.94,76742.94,76742.94,76742.94,0
2023-02-22,77140.11,77140.11,77140.11,77140.11,0
2023-02-23,76184.79,76184.79,76184.79,76184.79,0
2023-02-24,76710.92,76710.92,76710.92,76710.92,0
2023-02-27,76968.69,76968.69,76968.69,76968.69,0
2023-02-28,77067.69,77067.69,77067.69,77067.69,0
2023-03-02,77388.46,77388.46,77388.46,77388.46,0
2023-03-03,77450.58,77450.58,77450.58,77450.58,0
2023-03-06,77341.24,77341.24,77341.24,77341.24,0
2023-03-07,77308.44,77308.44,77308.44,77308.44,0
2023-03-08,76970.64,76970.64,76970.64,76970.64,0
2023-03-09,77262.11,77262.11,77262.11,77262.11,0
2023-03-10,79338.73,79338.73,79338.73,79338.73,0
2023-03-13,79579.47,79579.47,79579.47,79579.47,0
2023-03-14,80161.31,80161.31,80161.31,80161.31,0
2023-03-15,81209.09,81209.09,81209.09,81209.09,0
2023-03-16,81297.24,81297.24,81297.24,81297.24,0
2023-03-17,83706.88,83706.88,83706.88,83706.88,0
2023-03-20,83488.02,83488.02,83488.02,83488.02,0
2023-03-21,82682.63,82682.63,82682.63,82682.63,0
2023-03-22,81638.61,81638.61,81638.61,81638.61,0
2023-03-23,81686.1,81686.1,81686.1,81686.1,0
2023-03-24,82713.55,82713.55,82713.55,82713.55,0
2023-03-27,81748.33,81748.33,81748.33,81748.33,0
2023-03-28,81826.28,81826.28,81826.28,81826.28,0
2023-03-29,82292.93,82292.93,82292.93,82292.93,0
2023-03-30,82353.3,82353.3,82353.3,82353.3,0
2023-03-31,83062.04,83062.04,83062.04,83062.04,0
2023-04-03,83672.46,83672.46,83672.46,83672.46,0
2023-04-04,83829.33,83829.33,83829.33,83829.33,0
2023-04-05,85366.06,85366.06,85366.06,85366.06,0
2023-04-06,85709.51,85709.51,85709.51,85709.51,0
2023-04-07,85160.04,85160.04,85160.04,85160.04,0
2023-04-10,84962.29,84962.29,84962.29,84962.29,0
2023-04-11,85078.4,85078.4,85078.4,85078.4,0
2023-04-12,86067.33,86067.33,86067.33,86067.33,0
2023-04-13,85417.24,85417.24,85417.24,85417.24,0
2023-04-14,84085.07,84085.07,84085.07,84085.07,0
2023-04-17,84949.92,84949.92,84949.92,84949.92,0
2023-04-18,84906.74,84906.74,84906.74,84906.74,0
2023-04-19,84512.76,84512.76,84512.76,84512.76,0
2023-04-20,85277.53,85277.53,85277.53,85277.53,0
2023-04-21,84996.97,84996.97,84996.97,84996.97,0
2023-04-24,85142.39,85142.39,85142.39,85142.39,0
2023-04-25,85241.82,85241.82,85241.82,85241.82,0
2023-04-26,85868.15,85868.15,85868.15,85868.15,0
2023-04-27,85707.03,85707.03,85707.03,85707.03,0
2023-04-28,85428.53,85428.53,85428.53,85428.53,0
